Sample1	Sample2	GSE70138-Knockdown_96h
TA.KD009_A549_96H:TRCN0000013716:1	TA.KD009_A549_96H:TRCN0000013713:1	-0.056
TA.KD009_A549_96H:TRCN0000013716:1	TA.KD009_A549_96H:TRCN0000013714:1	0.0568
TA.KD009_A549_96H:TRCN0000013716:1	TA.KD009_A549_96H:TRCN0000229649:1	-0.0146
TA.KD009_A549_96H:TRCN0000013713:1	TA.KD009_A549_96H:TRCN0000013714:1	0.0648
TA.KD009_A549_96H:TRCN0000013713:1	TA.KD009_A549_96H:TRCN0000229649:1	0.0122
TA.KD009_A549_96H:TRCN0000013714:1	TA.KD009_A549_96H:TRCN0000229649:1	-0.2107
TAK004_U2OS_96H:TRCN0000013573:1	TAK004_U2OS_96H:TRCN0000013577:1	0.0489
TAK004_U2OS_96H:TRCN0000013573:1	TAK004_U2OS_96H:TRCN0000013574:1	-0.0921
TAK004_U2OS_96H:TRCN0000013577:1	TAK004_U2OS_96H:TRCN0000013574:1	0.3428
TAK004_U2OS_96H:TRCN0000150940:1	TAK004_U2OS_96H:TRCN0000330395:1	0.2296
TA.KD009_A549_96H:TRCN0000195474:1	TA.KD009_A549_96H:TRCN0000038657:1	0.1148
TA.KD009_A549_96H:TRCN0000195474:1	TA.KD009_A549_96H:TRCN0000194686:1	-0.0348
TA.KD009_A549_96H:TRCN0000195474:1	TA.KD009_A549_96H:TRCN0000194861:1	0.035
TA.KD009_A549_96H:TRCN0000195474:1	TA.KD009_A549_96H:TRCN0000196661:1	0.022
TA.KD009_A549_96H:TRCN0000195474:1	TA.KD009_A549_96H:TRCN0000039948:1	0.1036
TA.KD009_A549_96H:TRCN0000195474:1	TA.KD009_A549_96H:TRCN0000245106:1	0.0883
TA.KD009_A549_96H:TRCN0000038657:1	TA.KD009_A549_96H:TRCN0000194686:1	0.0231
TA.KD009_A549_96H:TRCN0000038657:1	TA.KD009_A549_96H:TRCN0000194861:1	0.037
TA.KD009_A549_96H:TRCN0000038657:1	TA.KD009_A549_96H:TRCN0000196661:1	0.0113
TA.KD009_A549_96H:TRCN0000038657:1	TA.KD009_A549_96H:TRCN0000039948:1	0.115
TA.KD009_A549_96H:TRCN0000038657:1	TA.KD009_A549_96H:TRCN0000245106:1	0.0743
TA.KD009_A549_96H:TRCN0000194686:1	TA.KD009_A549_96H:TRCN0000194861:1	-0.0608
TA.KD009_A549_96H:TRCN0000194686:1	TA.KD009_A549_96H:TRCN0000196661:1	-0.085
TA.KD009_A549_96H:TRCN0000194686:1	TA.KD009_A549_96H:TRCN0000039948:1	0.0426
TA.KD009_A549_96H:TRCN0000194686:1	TA.KD009_A549_96H:TRCN0000245106:1	0.0807
TA.KD009_A549_96H:TRCN0000194861:1	TA.KD009_A549_96H:TRCN0000196661:1	0.0526
TA.KD009_A549_96H:TRCN0000194861:1	TA.KD009_A549_96H:TRCN0000039948:1	0.1638
TA.KD009_A549_96H:TRCN0000194861:1	TA.KD009_A549_96H:TRCN0000245106:1	0.1488
TA.KD009_A549_96H:TRCN0000196661:1	TA.KD009_A549_96H:TRCN0000039948:1	-0.0221
TA.KD009_A549_96H:TRCN0000196661:1	TA.KD009_A549_96H:TRCN0000245106:1	0.0966
TA.KD009_A549_96H:TRCN0000039948:1	TA.KD009_A549_96H:TRCN0000245106:1	0.2009
TAK004_U2OS_96H:TRCN0000033500:1	TAK004_U2OS_96H:TRCN0000033502:1	0.0023
TAK004_U2OS_96H:TRCN0000033500:1	TAK004_U2OS_96H:TRCN0000033499:1	0.1468
TAK004_U2OS_96H:TRCN0000033502:1	TAK004_U2OS_96H:TRCN0000033499:1	-0.2724
TA.KD009_A549_96H:TRCN0000033462:1	TA.KD009_A549_96H:TRCN0000236074:1	0.0629
TA.KD009_A549_96H:TRCN0000033462:1	TA.KD009_A549_96H:TRCN0000244243:1	-0.0479
TA.KD009_A549_96H:TRCN0000033462:1	TA.KD009_A549_96H:TRCN0000236075:1	0.0258
TA.KD009_A549_96H:TRCN0000033462:1	TA.KD009_A549_96H:TRCN0000033461:1	0.0841
TA.KD009_A549_96H:TRCN0000033462:1	TA.KD009_A549_96H:TRCN0000033463:1	-0.0359
TA.KD009_A549_96H:TRCN0000236074:1	TA.KD009_A549_96H:TRCN0000244243:1	0.0874
TA.KD009_A549_96H:TRCN0000236074:1	TA.KD009_A549_96H:TRCN0000236075:1	0.1098
TA.KD009_A549_96H:TRCN0000236074:1	TA.KD009_A549_96H:TRCN0000033461:1	0.1681
TA.KD009_A549_96H:TRCN0000236074:1	TA.KD009_A549_96H:TRCN0000033463:1	0.1028
TA.KD009_A549_96H:TRCN0000244243:1	TA.KD009_A549_96H:TRCN0000236075:1	0.0861
TA.KD009_A549_96H:TRCN0000244243:1	TA.KD009_A549_96H:TRCN0000033461:1	-0.0641
TA.KD009_A549_96H:TRCN0000244243:1	TA.KD009_A549_96H:TRCN0000033463:1	0.202
TA.KD009_A549_96H:TRCN0000236075:1	TA.KD009_A549_96H:TRCN0000033461:1	-0.0601
TA.KD009_A549_96H:TRCN0000236075:1	TA.KD009_A549_96H:TRCN0000033463:1	0.019
TA.KD009_A549_96H:TRCN0000033461:1	TA.KD009_A549_96H:TRCN0000033463:1	0.1784
TA.KD010_A549_96H:TRCN0000381659:1	TA.KD010_A549_96H:TRCN0000382327:1	0.0153
TA.KD010_A549_96H:TRCN0000381659:1	TA.KD010_A549_96H:TRCN0000382440:1	-0.0336
TA.KD010_A549_96H:TRCN0000381659:1	TA.KD010_A549_96H:TRCN0000006292:1	0.2081
TA.KD010_A549_96H:TRCN0000381659:1	TA.KD010_A549_96H:TRCN0000195066:1	-0.0428
TA.KD010_A549_96H:TRCN0000381659:1	TA.KD010_A549_96H:TRCN0000196918:1	0.1082
TA.KD010_A549_96H:TRCN0000381659:1	TA.KD010_A549_96H:TRCN0000196844:1	0.0594
TA.KD010_A549_96H:TRCN0000381659:1	TA.KD010_A549_96H:TRCN0000006291:1	0.0156
TA.KD010_A549_96H:TRCN0000381659:1	TA.KD010_A549_96H:TRCN0000006289:1	0.0234
TA.KD010_A549_96H:TRCN0000381659:1	TA.KD010_A549_96H:TRCN0000231130:1	-0.0414
TA.KD010_A549_96H:TRCN0000382327:1	TA.KD010_A549_96H:TRCN0000382440:1	-0.0911
TA.KD010_A549_96H:TRCN0000382327:1	TA.KD010_A549_96H:TRCN0000006292:1	0.0341
TA.KD010_A549_96H:TRCN0000382327:1	TA.KD010_A549_96H:TRCN0000195066:1	0.0445
TA.KD010_A549_96H:TRCN0000382327:1	TA.KD010_A549_96H:TRCN0000196918:1	0.0054
TA.KD010_A549_96H:TRCN0000382327:1	TA.KD010_A549_96H:TRCN0000196844:1	0.0549
TA.KD010_A549_96H:TRCN0000382327:1	TA.KD010_A549_96H:TRCN0000006291:1	-0.0409
TA.KD010_A549_96H:TRCN0000382327:1	TA.KD010_A549_96H:TRCN0000006289:1	0.0463
TA.KD010_A549_96H:TRCN0000382327:1	TA.KD010_A549_96H:TRCN0000231130:1	0.0227
TA.KD010_A549_96H:TRCN0000382440:1	TA.KD010_A549_96H:TRCN0000006292:1	-0.0851
TA.KD010_A549_96H:TRCN0000382440:1	TA.KD010_A549_96H:TRCN0000195066:1	-0.0061
TA.KD010_A549_96H:TRCN0000382440:1	TA.KD010_A549_96H:TRCN0000196918:1	0.0053
TA.KD010_A549_96H:TRCN0000382440:1	TA.KD010_A549_96H:TRCN0000196844:1	-0.0633
TA.KD010_A549_96H:TRCN0000382440:1	TA.KD010_A549_96H:TRCN0000006291:1	-0.011
TA.KD010_A549_96H:TRCN0000382440:1	TA.KD010_A549_96H:TRCN0000006289:1	-0.0289
TA.KD010_A549_96H:TRCN0000382440:1	TA.KD010_A549_96H:TRCN0000231130:1	0.0584
