Sample1	Sample2	Jaccard	Pearson	Spearman	Cosine_diffshRNA
TA.KD009_A549_96H:TRCN0000062545:1	TA.KD009_A549_96H:TRCN0000062544:1	0.4223	-0.0911	-0.1345	-0.091
TA.KD009_A549_96H:TRCN0000062545:1	TA.KD009_A549_96H:TRCN0000418097:1	0.591	0.2701	0.2492	0.2701
TA.KD009_A549_96H:TRCN0000062547:1	TA.KD009_A549_96H:TRCN0000062544:1	0.6053	0.1999	0.2755	0.2044
TA.KD009_A549_96H:TRCN0000062547:1	TA.KD009_A549_96H:TRCN0000418097:1	0.4959	-0.0037	-0.0062	-0.004
TA.KD009_A549_96H:TRCN0000062544:1	TA.KD009_A549_96H:TRCN0000418097:1	0.5123	0.0282	0.0201	0.0279
TA.KD010_A549_96H:TRCN0000237829:1	TA.KD010_A549_96H:TRCN0000237828:1	0.5562	0.1868	0.1689	0.1873
TA.KD010_A549_96H:TRCN0000237829:1	TA.KD010_A549_96H:TRCN0000244294:1	0.5266	0.0621	0.0694	0.0628
TA.KD010_A549_96H:TRCN0000237829:1	TA.KD010_A549_96H:TRCN0000237830:1	0.5491	0.1143	0.1121	0.1148
TA.KD010_A549_96H:TRCN0000237829:1	TA.KD010_A549_96H:TRCN0000040097:1	0.5	0.1048	0.0713	0.1055
TA.KD010_A549_96H:TRCN0000237829:1	TA.KD010_A549_96H:TRCN0000040093:1	0.4591	-0.1006	-0.1247	-0.0999
TA.KD010_A549_96H:TRCN0000237829:1	TA.KD010_A549_96H:TRCN0000010296:1	0.4571	-0.0029	-0.0728	-0.0019
TA.KD010_A549_96H:TRCN0000237828:1	TA.KD010_A549_96H:TRCN0000244294:1	0.5082	0.0558	0.0235	0.0577
TA.KD010_A549_96H:TRCN0000237828:1	TA.KD010_A549_96H:TRCN0000237830:1	0.4458	-0.0444	-0.0908	-0.0425
TA.KD010_A549_96H:TRCN0000237828:1	TA.KD010_A549_96H:TRCN0000040097:1	0.5429	0.1462	0.1025	0.1481
TA.KD010_A549_96H:TRCN0000237828:1	TA.KD010_A549_96H:TRCN0000040093:1	0.5102	0.0732	0.0421	0.0747
TA.KD010_A549_96H:TRCN0000237828:1	TA.KD010_A549_96H:TRCN0000010296:1	0.4448	-0.0469	-0.1227	-0.044
TA.KD010_A549_96H:TRCN0000244294:1	TA.KD010_A549_96H:TRCN0000237830:1	0.5061	0.0407	0.0302	0.0421
TA.KD010_A549_96H:TRCN0000244294:1	TA.KD010_A549_96H:TRCN0000040097:1	0.5419	0.0938	0.1167	0.0955
TA.KD010_A549_96H:TRCN0000244294:1	TA.KD010_A549_96H:TRCN0000040093:1	0.4581	-0.0131	-0.0671	-0.0117
TA.KD010_A549_96H:TRCN0000244294:1	TA.KD010_A549_96H:TRCN0000010296:1	0.4928	0.0025	0.0075	0.0048
TA.KD010_A549_96H:TRCN0000237830:1	TA.KD010_A549_96H:TRCN0000040097:1	0.4908	0.0295	0.0419	0.0312
TA.KD010_A549_96H:TRCN0000237830:1	TA.KD010_A549_96H:TRCN0000040093:1	0.5051	0.0557	0.0496	0.0569
TA.KD010_A549_96H:TRCN0000237830:1	TA.KD010_A549_96H:TRCN0000010296:1	0.4898	0.0191	0.0038	0.0211
TA.KD010_A549_96H:TRCN0000040097:1	TA.KD010_A549_96H:TRCN0000040093:1	0.5297	0.1294	0.1033	0.1308
TA.KD010_A549_96H:TRCN0000040097:1	TA.KD010_A549_96H:TRCN0000010296:1	0.5133	0.0283	0.0135	0.0308
TA.KD010_A549_96H:TRCN0000040093:1	TA.KD010_A549_96H:TRCN0000010296:1	0.5051	0.0111	0.0051	0.013
EKW001_PC3_120H:TRCN0000237828:2	EKW001_PC3_120H:TRCN0000244294:2	0.6503	0.4368	0.3929	0.4365
EKW001_PC3_120H:TRCN0000237828:2	EKW001_PC3_120H:TRCN0000237830:2	0.545	0.2205	0.1766	0.22
EKW001_PC3_120H:TRCN0000237828:2	CGS001_PC3_144H:APC:2	0.5337	0.1529	0.1417	0.1533
EKW001_PC3_120H:TRCN0000237828:2	CGS001_PC3_120H:APC:2	0.7924	0.8235	0.7794	0.8233
EKW001_PC3_120H:TRCN0000244294:2	EKW001_PC3_120H:TRCN0000237830:2	0.5429	0.173	0.1276	0.1733
EKW001_PC3_120H:TRCN0000244294:2	CGS001_PC3_144H:APC:2	0.4622	-0.0378	-0.0563	-0.0382
EKW001_PC3_120H:TRCN0000244294:2	CGS001_PC3_120H:APC:2	0.8027	0.8003	0.7651	0.8003
EKW001_PC3_120H:TRCN0000237830:2	CGS001_PC3_144H:APC:2	0.4867	-0.0224	-0.0206	-0.0231
EKW001_PC3_120H:TRCN0000237830:2	CGS001_PC3_120H:APC:2	0.6421	0.5015	0.453	0.5015
EKW001_SHSY5Y_120H:TRCN0000244294:2	EKW001_SHSY5Y_120H:TRCN0000237830:2	0.4632	-0.059	-0.0855	-0.0574
EKW001_SHSY5Y_120H:TRCN0000244294:2	EKW001_SHSY5Y_120H:TRCN0000237828:2	0.5542	0.191	0.1572	0.1935
EKW001_SHSY5Y_120H:TRCN0000237830:2	EKW001_SHSY5Y_120H:TRCN0000237828:2	0.5419	0.1369	0.117	0.1384
TA.KD009_A549_96H:TRCN0000199244:1	TA.KD009_A549_96H:TRCN0000315027:1	0.5337	0.0092	0.0275	0.0103
TA.KD009_A549_96H:TRCN0000199244:1	TA.KD009_A549_96H:TRCN0000000568:1	0.4898	0.0031	-0.0338	0.0057
TA.KD009_A549_96H:TRCN0000199244:1	TA.KD009_A549_96H:TRCN0000380490:1	0.4867	-0.0243	-0.0373	-0.022
TA.KD009_A549_96H:TRCN0000199244:1	TA.KD009_A549_96H:TRCN0000315028:1	0.4438	-0.1241	-0.1457	-0.1214
TA.KD009_A549_96H:TRCN0000199244:1	TA.KD009_A549_96H:TRCN0000315030:1	0.5552	0.1053	0.1074	0.1078
TA.KD009_A549_96H:TRCN0000315027:1	TA.KD009_A549_96H:TRCN0000000568:1	0.4959	0.0414	0.013	0.0428
TA.KD009_A549_96H:TRCN0000315027:1	TA.KD009_A549_96H:TRCN0000380490:1	0.4806	-0.0355	-0.0633	-0.0342
TA.KD009_A549_96H:TRCN0000315027:1	TA.KD009_A549_96H:TRCN0000315028:1	0.5603	0.1539	0.1422	0.155
TA.KD009_A549_96H:TRCN0000315027:1	TA.KD009_A549_96H:TRCN0000315030:1	0.5143	-0.0127	0.0012	-0.011
TA.KD009_A549_96H:TRCN0000000568:1	TA.KD009_A549_96H:TRCN0000380490:1	0.4918	-0.0078	0.0107	-0.0047
TA.KD009_A549_96H:TRCN0000000568:1	TA.KD009_A549_96H:TRCN0000315028:1	0.5429	0.2035	0.1674	0.2062
TA.KD009_A549_96H:TRCN0000000568:1	TA.KD009_A549_96H:TRCN0000315030:1	0.4785	-0.0004	-0.0452	0.0036
TA.KD009_A549_96H:TRCN0000380490:1	TA.KD009_A549_96H:TRCN0000315028:1	0.5399	0.0731	0.0789	0.0757
TA.KD009_A549_96H:TRCN0000380490:1	TA.KD009_A549_96H:TRCN0000315030:1	0.5204	0.1123	0.0925	0.1153
TA.KD009_A549_96H:TRCN0000315028:1	TA.KD009_A549_96H:TRCN0000315030:1	0.5573	0.2097	0.1874	0.2126
TA.KD009_A549_96H:TRCN0000059089:1	TA.KD009_A549_96H:TRCN0000059088:1	0.4939	0.0671	0.0093	0.0683
TA.KD009_A549_96H:TRCN0000059089:1	TA.KD009_A549_96H:TRCN0000059090:1	0.5133	0.0314	0.0324	0.0323
TA.KD009_A549_96H:TRCN0000059089:1	TA.KD009_A549_96H:TRCN0000059091:1	0.5501	0.1692	0.1693	0.1701
TA.KD009_A549_96H:TRCN0000059089:1	TA.KD009_A549_96H:TRCN0000358749:1	0.5297	0.0817	0.0677	0.0831
TA.KD009_A549_96H:TRCN0000059089:1	TA.KD009_A549_96H:TRCN0000344652:1	0.4663	0.0261	-0.0549	0.027
TA.KD009_A549_96H:TRCN0000059089:1	TA.KD009_A549_96H:TRCN0000059092:1	0.4796	-0.0841	-0.074	-0.0815
TA.KD009_A549_96H:TRCN0000059088:1	TA.KD009_A549_96H:TRCN0000059090:1	0.453	-0.114	-0.1648	-0.1123
TA.KD009_A549_96H:TRCN0000059088:1	TA.KD009_A549_96H:TRCN0000059091:1	0.4959	0.0138	0.0017	0.0155
TA.KD009_A549_96H:TRCN0000059088:1	TA.KD009_A549_96H:TRCN0000358749:1	0.4734	-0.0212	-0.0363	-0.0189
TA.KD009_A549_96H:TRCN0000059088:1	TA.KD009_A549_96H:TRCN0000344652:1	0.5859	0.2518	0.259	0.2529
TA.KD009_A549_96H:TRCN0000059088:1	TA.KD009_A549_96H:TRCN0000059092:1	0.5112	0.0187	0.043	0.0222
TA.KD009_A549_96H:TRCN0000059090:1	TA.KD009_A549_96H:TRCN0000059091:1	0.5399	0.0447	0.0666	0.046
TA.KD009_A549_96H:TRCN0000059090:1	TA.KD009_A549_96H:TRCN0000358749:1	0.5706	0.2024	0.1962	0.2038
TA.KD009_A549_96H:TRCN0000059090:1	TA.KD009_A549_96H:TRCN0000344652:1	0.454	-0.0263	-0.0753	-0.0252
TA.KD009_A549_96H:TRCN0000059090:1	TA.KD009_A549_96H:TRCN0000059092:1	0.4571	-0.0967	-0.115	-0.0937
TA.KD009_A549_96H:TRCN0000059091:1	TA.KD009_A549_96H:TRCN0000358749:1	0.5501	0.0647	0.0592	0.0665
TA.KD009_A549_96H:TRCN0000059091:1	TA.KD009_A549_96H:TRCN0000344652:1	0.4622	0.0214	-0.0406	0.0226
