drug-sample	target-sample	jaccard	pearson	spearman	cosine
DOSBIO001_PC3_24H:BRD-A19500257:1.11111	CGS001_PC3_144H:HSP90AA1:2	0.4949	-0.0339	-0.0207	-0.0339
CPD002_PC3_6H:BRD-A19500257:10	CGS001_PC3_144H:HSP90AA1:2	0.5409	0.071	0.0965	0.071
DOSBIO001_PC3_24H:BRD-A19500257:3.33333	CGS001_PC3_144H:HSP90AA1:2	0.4642	-0.0725	-0.077	-0.0726
DOSBIO002_PC3_24H:BRD-A19500257:0.37037	CGS001_PC3_144H:HSP90AA1:2	0.4642	-0.0663	-0.0671	-0.0663
DOSBIO001_PC3_24H:BRD-A19500257:10	CGS001_PC3_144H:HSP90AA1:2	0.4816	-0.0477	-0.0431	-0.0478
CPC001_PC3_24H:A03	CGS001_PC3_144H:HSP90AA1:2	0.4765	-0.0249	-0.032	-0.0251
CPC006_PC3_24H:A03	CGS001_PC3_144H:HSP90AA1:2	0.4755	-0.0091	-0.0245	-0.0092
CPC001_PC3_6H:BRD-A19500257:10	CGS001_PC3_144H:HSP90AA1:2	0.5143	0.0369	0.0345	0.0367
CPC007_PC3_24H:BRD-A19500257:10	CGS001_PC3_144H:HSP90AA1:2	0.5256	0.0002	0.0225	0.0004
CPC008_PC3_24H:BRD-A19500257:10	CGS001_PC3_144H:HSP90AA1:2	0.4816	-0.0443	-0.0448	-0.0446
CPC004_PC3_24H:BRD-A19500257:10	CGS001_PC3_144H:HSP90AA1:2	0.4816	-0.0267	-0.0237	-0.0271
CPC020_PC3_24H:BRD-A19500257:10	CGS001_PC3_144H:HSP90AA1:2	0.4908	-0.042	-0.0513	-0.0424
CPC011_PC3_24H:BRD-A19500257:10	CGS001_PC3_144H:HSP90AA1:2	0.4703	-0.0491	-0.0636	-0.0494
CPC004_PC3_6H:BRD-A19500257:10	CGS001_PC3_144H:HSP90AA1:2	0.5245	0.0939	0.0882	0.0936
CPC013_PC3_24H:BRD-A19500257:10	CGS001_PC3_144H:HSP90AA1:2	0.4918	-0.0523	-0.0454	-0.0519
CPC009_PC3_24H:BRD-A19500257:10	CGS001_PC3_144H:HSP90AA1:2	0.5	0.0191	0.0234	0.019
CPC002_PC3_24H:BRD-A19500257:10	CGS001_PC3_144H:HSP90AA1:2	0.4744	-0.0202	-0.0308	-0.0204
CPC019_PC3_24H:A03	CGS001_PC3_144H:HSP90AA1:2	0.5072	0.0011	0.0074	0.0012
CPC005_PC3_6H:BRD-A19500257:10	CGS001_PC3_144H:HSP90AA1:2	0.5297	0.1046	0.0952	0.1043
CPC005_PC3_24H:BRD-A19500257:10	CGS001_PC3_144H:HSP90AA1:2	0.502	-0.005	-0.0022	-0.0049
CPC019_PC3_6H:BRD-A19500257:10	CGS001_PC3_144H:HSP90AA1:2	0.5174	0.0972	0.0895	0.0974
DOS056_PC3_24H:BRD-A19500257:10	CGS001_PC3_144H:HSP90AA1:2	0.499	-0.0094	-0.0018	-0.0098
DOS034_PC3_24H:BRD-A19500257:10	CGS001_PC3_144H:HSP90AA1:2	0.5072	0.0375	0.0314	0.0375
DOS033_PC3_24H:BRD-A19500257:10	CGS001_PC3_144H:HSP90AA1:2	0.4703	-0.0239	-0.0385	-0.0242
DOS046_PC3_24H:BRD-A19500257:10	CGS001_PC3_144H:HSP90AA1:2	0.4949	0.0006	-0.0125	0.0003
DOS047_PC3_24H:BRD-A19500257:10	CGS001_PC3_144H:HSP90AA1:2	0.4918	0.0315	0.0163	0.0314
ERG014_PC3_24H:BRD-A19500257-001-01-3:0.08	CGS001_PC3_144H:HSP90AA1:2	0.4632	-0.0503	-0.0549	-0.0505
ERG015_PC3_6H:BRD-A19500257-001-01-3:2	CGS001_PC3_144H:HSP90AA1:2	0.5102	0.043	0.0238	0.0432
ERG012_PC3_24H:BRD-A19500257-001-01-3:0.08	CGS001_PC3_144H:HSP90AA1:2	0.4775	-0.0019	-0.031	-0.0018
ERG012_PC3_24H:BRD-A19500257-001-01-3:10	CGS001_PC3_144H:HSP90AA1:2	0.4908	-0.0387	-0.0329	-0.0387
HOG001_MCF7_24H:BRD-A19633847-050-20-6:10	CGS001_MCF7_96H:CPT1A:2	0.5961	0.3269	0.3339	0.327
HOG001_MCF7_6H:BRD-A19633847-050-20-6:10	CGS001_MCF7_96H:CPT1A:2	0.5746	0.2418	0.2414	0.2417
CPC006_HA1E_6H:BRD-A19633847-050-20-6:10	CGS001_HA1E_96H:CPT1A:1.5	0.4969	-0.0122	-0.0276	-0.0122
CPC006_HEPG2_6H:BRD-A19633847-050-20-6:10	CGS001_HEPG2_96H:CPT1A:1.5	0.5624	0.1117	0.1403	0.1091
REP.A004_HA1E_24H:D14	CGS001_HA1E_96H:CPT1A:1.5	0.5051	0.0178	0.0194	0.0178
REP.A004_MCF7_24H:D13	CGS001_MCF7_96H:CPT1A:2	0.5808	0.2488	0.2483	0.2486
CPC006_HT29_24H:BRD-A19633847-050-20-6:10	CGS001_HT29_96H:CPT2:1	0.5092	0.0693	0.0315	0.0706
CPC006_VCAP_6H:BRD-A19633847-050-20-6:10	CGS001_VCAP_120H:CPT2:5	0.4693	0.0528	-0.0248	0.0485
