Sample1	Sample2	dose0.01uM-1uM_time24
ISO002_MCF10A.BRCA1.HD_24H:G10	ISO002_MCF10A.BRCA1.HD_24H:G11	0.8827
PBIOA018_A375_24H:H16	PBIOA018_A375_24H:H17	0.5088
LJP007_NPC.CAS9_24H:B17	LJP007_NPC.CAS9_24H:B18	0.4943
REP.A003_A375_24H:I23	REP.A003_A375_24H:I24	0.4775
REP.A003_YAPC_24H:I22	REP.A003_YAPC_24H:I23	0.431
CEGS001_NPC.170_24H:M05	CEGS001_NPC.170_24H:M06	0.9252
CEGS001_NPC.179_24H:M05	CEGS001_NPC.179_24H:M06	0.9175
CEGS001_NPC.8330_24H:M05	CEGS001_NPC.8330_24H:M06	0.9259
LJP008_CD34_24H:K04	LJP008_CD34_24H:K05	0.5568
PBIOA018_A549_24H:I04	PBIOA018_A549_24H:I06	0.3162
REP.A014_HEK293_24H:K17	REP.A014_HEK293_24H:K16	0.5945
REP.A014_HT29_24H:K18	REP.A014_HT29_24H:K16	0.7482
LJP009_HUVEC_24H:D06	LJP009_HUVEC_24H:D05	0.7856
LJP009_NPC.CAS9_24H:D04	LJP009_NPC.CAS9_24H:D05	0.8017
REP.A013_A375_24H:D11	REP.A013_A375_24H:D10	0.931
REP.A013_HT29_24H:D11	REP.A013_HT29_24H:D10	0.8223
REP.A013_HT29_24H:D11	REP.A013_HT29_24H:D12	0.8022
REP.A013_HT29_24H:D10	REP.A013_HT29_24H:D12	0.728
REP.A013_MCF7_24H:D10	REP.A013_MCF7_24H:D12	0.8448
ISO002_HCT116.TP53.HR_24H:J05	ISO002_HCT116.TP53.HR_24H:J06	0.6203
ISO002_HCT116.TP53.M_24H:J06	ISO002_HCT116.TP53.M_24H:J05	0.6272
ISO002_HCT116.WT_24H:J04	ISO002_HCT116.WT_24H:J05	0.8251
ISO002_MCF10A.BRCA1.HD_24H:J06	ISO002_MCF10A.BRCA1.HD_24H:J05	0.227
ISO002_MCF10A.EGFR.HL_24H:J05	ISO002_MCF10A.EGFR.HL_24H:J04	0.7387
ISO002_MCF10A.EGFR.HL_24H:J05	ISO002_MCF10A.EGFR.HL_24H:J06	0.2817
ISO002_MCF10A.EGFR.HL_24H:J04	ISO002_MCF10A.EGFR.HL_24H:J06	0.1458
ISO002_MCF10A.KRAS.HG_24H:J05	ISO002_MCF10A.KRAS.HG_24H:J04	0.6794
LJP001_SKBR3_24H:J02	LJP001_SKBR3_24H:J01	0.6773
POL001_MCF7_24H:P16	POL001_MCF7_24H:P17	0.8122
POL001_PC3_24H:P16	POL001_PC3_24H:P17	0.9303
PBIOA015_HCC515_24H:D11	PBIOA015_HCC515_24H:D10	0.7181
PBIOA015_PC3_24H:D12	PBIOA015_PC3_24H:D11	0.3863
POL001_HEPG2_24H:L05	POL001_HEPG2_24H:L04	0.311
POL001_HT29_24H:L05	POL001_HT29_24H:L04	0.2307
POL001_JURKAT_24H:L04	POL001_JURKAT_24H:L05	0.2381
POL001_MCF7_24H:L05	POL001_MCF7_24H:L04	0.2873
POL001_PC3_24H:L04	POL001_PC3_24H:L05	0.265
LJP006_SKBR3_24H:H16	LJP006_SKBR3_24H:H17	0.1766
LJP009_NPC.TAK_24H:E24	LJP009_NPC.TAK_24H:E22	0.6326
LJP006_HS578T_24H:L05	LJP006_HS578T_24H:L06	0.3871
LJP006_HS578T_24H:L05	LJP006_HS578T_24H:L04	0.5525
LJP006_HS578T_24H:L06	LJP006_HS578T_24H:L04	0.2709
ISO002_HCT116.TP53.M_24H:K16	ISO002_HCT116.TP53.M_24H:K17	0.7923
ISO002_HCT116.WT_24H:K17	ISO002_HCT116.WT_24H:K16	0.8032
LJP008_NPC_24H:G18	LJP008_NPC_24H:G17	0.3675
LJP009_NPC.TAK_24H:G18	LJP009_NPC.TAK_24H:G16	0.3786
LJP008_SKL_24H:G16	LJP008_SKL_24H:G18	0.7361
PBIOA013_PC3_24H:L24	PBIOA013_PC3_24H:L23	0.7303
POL001_HEPG2_24H:I16	POL001_HEPG2_24H:I17	0.2515
REP.A016_A375_24H:D24	REP.A016_A375_24H:D22	0.3671
